,Total_Students,CONSULTING,Core_AE,Core_CE,Core_CH,Core_EC,Core_EE,Core_EX,Core_GG,Core_IE,Core_IM,Core_ME,Core_MF,Core_MI,Core_MT,Data,Finance,Quant,SDE
AE,43,2,12,0,0,0,0,0,0,0,0,0,0,0,0,20,4,2,37
AG,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,6,38
BT,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,28
CE,58,7,0,27,0,0,0,0,0,0,0,0,0,0,0,11,0,3,54
CH,87,17,0,0,37,0,0,0,0,0,0,0,0,0,0,20,2,2,74
CS,90,6,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,34,86
CY,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,1,41
EC,95,13,0,0,0,49,0,0,0,0,0,0,0,0,0,19,2,6,82
EE,89,9,0,0,0,0,42,0,0,0,0,0,0,0,0,18,3,1,81
EX,42,1,0,0,0,0,0,25,0,0,0,0,0,0,0,8,1,2,40
GG,47,4,0,0,0,0,0,0,20,0,0,0,0,0,0,9,2,1,42
HS,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,62,3,30
IE,48,8,0,0,0,0,0,0,0,29,0,0,0,0,0,6,1,1,42
IM,41,4,0,0,0,0,0,0,0,0,39,0,0,0,0,27,0,2,2
MA,74,15,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,18,66
ME,105,8,0,0,0,0,0,0,0,0,0,96,0,0,0,67,1,3,6
MF,35,4,0,0,0,0,0,0,0,0,0,0,33,0,0,23,0,0,1
MI,46,3,0,0,0,0,0,0,0,0,0,0,0,22,0,9,2,0,41
MT,45,4,0,0,0,0,0,0,0,0,0,0,0,0,26,8,0,3,43
NA,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,2,35
PH,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,2,35
SD,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,19
