roll_no,received_offer
23MA10006,TRUE
23CS10072,TRUE
23MA10014,TRUE
23MA10073,TRUE
23EC10005,TRUE
23EE10094,TRUE
23EX10021,TRUE
23CS10032,TRUE
23CS10085,TRUE
23CS10080,TRUE
23IM10032,TRUE
23AG10032,TRUE
23BT10002,TRUE
23CS10022,TRUE
23CS10047,TRUE
23EC10101,TRUE
231E10009,True
231E10022,True
231E10026,True
231E10033,True
231E10037,True
231E10043,True
231E10050,True
23AE10017,True
23AE10024,True
23BT10021,True
23CE10054,True
23CH10002,True
23CH10004,True
23CH10005,True
23CH10007,True
23CH10026,True
23CH10027,True
23CH10030,True
23CH10053,True
23CH10080,True
23CH10087,True
23CH10094,True
23CH10097,True
23CH10099,True
23CS10001,True
23CS10002,True
23CS10003,True
23CS10004,True
23CS10006,True
23CS10007,True
23CS10008,True
23CS10009,True
23CS10012,True
23CS10013,True
23CS10016,True
23CS10017,True
23CS10019,True
23CS10021,True
23CS10022,True
23CS10027,True
23CS10030,True
23CS10032,True
23CS10036,True
23CS10039,True
23CS10040,True
23CS10041,True
23CS10043,True
23CS10044,True
23CS10045,True
23CS10046,True
23CS10047,True
23CS10048,True
23CS10049,True
23CS10051,True
23CS10052,True
23CS10054,True
23CS10056,True
23CS10059,True
23CS10060,True
23CS10063,True
23CS10065,True
23CS10066,True
23CS10067,True
23CS10068,True
23CS10070,True
23CS10071,True
23CS10072,True
23CS10074,True
23CS10075,True
23CS10077,True
23CS10078,True
23CS10079,True
23CS10080,True
23CS10081,True
23CS10082,True
23CS10083,True
23CS10084,True
23CS10085,True
23CS10086,True
23CS10087,True
23CS10088,True
23CS10089,True
23CS10090,True
23CS10091,True
23EC10004,True
23EC10009,True
23EC10012,True
23EC10015,True
23EC10020,True
23EC10022,True
23EC10029,True
23EC10030,True
23EC10031,True
23EC10034,True
23EC10035,True
23EC10043,True
23EC10044,True
23EC10049,True
23EC10052,True
23EC10055,True
23EC10064,True
23EC10072,True
23EC10080,True
23EC10082,True
23EC10083,True
23EC10091,True
23EC10092,True
23EC10094,True
23EC10095,True
23EC10096,True
23EC10097,True
23EC10098,True
23EC10100,True
23EC10101,True
23EC10102,True
23EE10003,True
23EE10005,True
23EE10008,True
23EE10009,True
23EE10010,True
23EE10011,True
23EE10020,True
23EE10023,True
23EE10030,True
23EE10033,True
23EE10036,True
23EE10042,True
23EE10044,True
23EE10048,True
23EE10055,True
23EE10063,True
23EE10070,True
23EE10080,True
23EE10081,True
23EE10083,True
23EE10084,True
23EE10086,True
23EE10087,True
23EE10089,True
23EE10090,True
23EE10091,True
23EE10095,True
23EE10096,True
23EE10098,True
23EE10099,True
23EX10036,True
23EX10039,True
23GG10033,True
23HS10001,True
23HS10003,True
23HS10004,True
23HS10008,True
23HS10013,True
23HS10031,True
23HS10040,True
23HS10044,True
23HS10049,True
23HS10066,True
23IE10001,True
23IE10002,True
23IE10007,True
23IE10008,True
23IE10010,True
23IE10013,True
23IE10017,True
23IE10021,True
23IE10031,True
23IE10036,True
23IE10046,True
23IE10047,True
23IE10049,True
23IE10051,True
23IM10005,True
23IM10010,True
23IM10014,True
23IM10015,True
23IM10029,True
23IM10032,True
23IM10034,True
23IM10035,True
23IM10039,True
23IM10044,True
23IM10046,True
23IM10052,True
23M110005,True
23M110043,True
23MA10001,True
23MA10002,True
23MA10003,True
23MA10005,True
23MA10009,True
23MA10010,True
23MA10013,True
23MA10014,True
23MA10015,True
23MA10016,True
23MA10022,True
23MA10024,True
23MA10025,True
23MA10029,True
23MA10030,True
23MA10032,True
23MA10036,True
23MA10039,True
23MA10042,True
23MA10044,True
23MA10048,True
23MA10050,True
23MA10052,True
23MA10054,True
23MA10057,True
23MA10066,True
23MA10068,True
23MA10071,True
23MA10073,True
23MA10074,True
23MA10075,True
23MA10076,True
23MA10077,True
23MA10078,True
23MA10079,True
23MA10080,True
23ME10003,True
23ME10011,True
23ME10035,True
23ME10037,True
23ME10040,True
23ME10042,True
23ME10047,True
23ME10048,True
23ME10049,True
23ME10060,True
23ME10073,True
23ME10081,True
23ME10089,True
23ME10102,True
23ME10104,True
23ME10107,True
23ME10109,True
23ME10113,True
23ME10119,True
23ME10121,True
23ME10122,True
23ME10123,True
23MF10008,True
23MF10011,True
23MF10014,True
23MF10026,True
23MF10046,True
23MI10019,True
23MI10040,True
23MT10059,True
23MT10063,True
23NA10030,True
23NA10034,True
23NA10037,True
23NA10042,True
23PH10027,True
23PH10029,True
